"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 1.540515
2 1.39139
3 1.129743
4 0.7160894
5 0.4367821
6 0.07494634
7 -0.04003751
8 -0.03859673
9 0.06133414
10 0.1941227
11 0.2806523
12 0.3548951
13 0.3752352
14 0.3788867
15 0.3866766
16 0.3939971
17 0.4133322
18 0.4361534
19 0.453732
20 0.4553382
21 0.4458126
22 0.4299184
23 0.4182277
24 0.4073011
25 0.3992264
26 0.3991347
27 0.4174711
28 0.4351957
29 0.4714853
30 0.4956616
31 0.5139301
32 0.5293554
33 0.5452371
34 0.5535524
35 0.561712
36 0.5664676
37 0.5671088
38 0.5663637
39 0.5639763
40 0.5608982
41 0.55822
42 0.5563452
43 0.5566376
44 0.5585366
45 0.5619294
46 0.5664007
47 0.5720017
48 0.5784556
49 0.5845616
50 0.591207
51 0.5985478
52 0.6059837
53 0.6132467
54 0.6199962
55 0.6267681
56 0.6316486
57 0.6353218
58 0.6395735
59 0.6437864
60 0.6485279
61 0.6527565
62 0.6569201
63 0.6602553
64 0.6629719
65 0.6655794
66 0.6677569
67 0.6700722
68 0.6723892
69 0.6748132
70 0.677357
71 0.6796234
72 0.6820044
73 0.6841043
74 0.6863436
75 0.688661
76 0.6911448
77 0.6931161
